Folder,x_coordinates,Gamma_pv,Density,Temperature,Pressure,Mach,Speed,c,dens0,norm_density,norm_temperature,norm_pressure,norm_dens_grad,norm_p_grad,norm_T_grad,beta,alfa,mean_gamma_pv
BOS_12_11_2,0.056122252382765525,0.9538465797413884,12.139057701807609,463.11323319324936,265496.53930092003,1.7004518752082942,245.60689409910034,144.43625114001836,75.20055456459959,0.16479311435999328,0.9402676204066363,0.22312243445280552,-13.0174269245307,-16.79949927565654,-2.234407997893696,9.107132999353238,12.561532827581704,0.8316923258036716
BOS_12_11_2,0.0562731629258517,0.9546701131891459,11.99764805173826,462.949211383617,262544.40971936646,1.7061397715891309,246.60086693747144,144.5373181282696,75.20055456459959,0.16287341538434585,0.9399346038016595,0.22064147428364186,-12.720774416345222,-16.43993930726829,-2.2067153040892853,9.107132999353238,12.561532827581704,0.8316923258036716
BOS_12_11_2,0.056424073468937866,0.9554610454742716,11.861901552354867,462.79011539753674,259706.62374748176,1.7116539297514781,247.56361155870354,144.63415019568137,75.20055456459959,0.16103059620131116,0.9396115881900855,0.21825660811487693,-12.211334909732104,-15.803177962213574,-2.140444298776448,9.107132999353238,12.561532827581704,0.8316923258036716
BOS_12_11_2,0.05657498401202404,0.9562257951748956,11.730710212091202,462.63479388352084,256960.4539470679,1.717034514731771,248.50220400095884,144.72755315566792,75.20055456459959,0.15924961533194007,0.9392962359610535,0.21594873588082633,-11.801566894859375,-15.292982099552082,-2.0896633368542257,9.107132999353238,12.561532827581704,0.8316923258036716
BOS_12_11_2,0.05672589455511022,0.9569745700811914,11.602318607941424,462.4812650741185,254269.4589204313,1.722350346019529,249.42868727605392,144.81878663798042,75.20055456459959,0.15750664212716103,0.9389845234943524,0.21368723234852222,-11.549711300049593,-14.985722574815044,-2.065544661933691,9.107132999353238,12.561532827581704,0.8316923258036716
BOS_12_11_2,0.056876805098196384,0.957707880940011,11.476636167993547,462.3294854075221,251631.96312333047,1.7276030423796522,250.34336571695766,144.90792130820006,75.20055456459959,0.15580044703293314,0.9386763623456141,0.21147068939599364,-11.306003274096796,-14.68779388901291,-2.042012058509742,9.107132999353238,12.561532827581704,0.8316923258036716
BOS_12_11_2,0.05702771564128256,0.9584028013657397,11.35758668633065,462.18432675386447,249130.67125719142,1.732624227039079,251.2169791601785,144.9921888657236,75.20055456459959,0.1541842973013728,0.9383816439655865,0.20936861178730065,-10.70932287770923,-13.929295897455006,-1.9529343278512612,9.107132999353238,12.561532827581704,0.8316923258036716
BOS_12_11_2,0.05717862618436874,0.959076052459128,11.242299434116063,462.04244011684864,246705.65575274886,1.7375299989549162,252.06979826637584,145.07363810581109,75.20055456459959,0.15261922151006005,0.9380935688232839,0.20733063658671336,-10.370884361730987,-13.504524991494478,-1.9089132966549642,9.107132999353238,12.561532827581704,0.8316923258036716
BOS_12_11_2,0.0573295367274549,0.959736435340949,11.129264074758296,461.9020426096889,244325.36512124,1.7423821264434323,252.91259240176112,145.15334412779407,75.20055456459959,0.15108471616714586,0.9378085170896985,0.20533024802494193,-10.168311050594053,-13.255459299681322,-1.8888788533660272,9.107132999353238,12.561532827581704,0.8316923258036716
BOS_12_11_2,0.05748044727054108,0.9603843253040438,11.018414159503644,461.7631015104532,241988.55766883027,1.7471818198400875,253.74558984816542,145.2313588470087,75.20055456459959,0.14957987920120613,0.9375264223288681,0.20336640258649663,-9.971715263660517,-13.013308403004158,-1.8692846441436435,9.107132999353238,12.561532827581704,0.8316923258036716
BOS_12_11_2,0.05763135781362726,0.9610200826761376,10.909685912346808,461.62558523116746,239694.0388383872,1.7519302463125328,254.56901089803603,145.30773210511865,75.20055456459959,0.14810384482456668,0.9372472204071272,0.20143809636942014,-9.780856568759303,-12.777809804682404,-1.8501154129533863,9.107132999353238,12.561532827581704,0.8316923258036716
BOS_12_11_2,0.05778226835671342,0.9616440535873312,10.803018091933602,461.48946326325205,237440.65889278712,1.7566285319987656,255.38306823949583,145.3825117760727,75.20055456459959,0.1466557816585709,0.9369708493823253,0.19954436313834567,-9.595506956521707,-12.548713909227866,-1.8313566378460946,9.107132999353238,12.561532827581704,0.8316923258036716
BOS_12_11_2,0.0579331788997996,0.9622565706891192,10.698351862242735,461.3547061263066,235227.3107396784,1.7612777640108914,256.1879673177905,145.45574386539877,75.20055456459959,0.14523489097802755,0.9366972493998441,0.19768427249643525,-9.41545005064325,-12.325783234695589,-1.812994485912033,9.107132999353238,12.561532827581704,0.8316923258036716
